,loan_id,loan_purpose,date,loan_granted,loan_repaid
0,19454,investment,2012-03-15,0,
1,496811,investment,2012-01-17,0,
2,929493,other,2012-02-09,0,
3,580653,other,2012-06-27,1,1.0
4,172419,business,2012-05-21,1,0.0
5,77085,other,2012-08-31,0,
6,780070,business,2012-03-14,1,1.0
7,303138,emergency_funds,2012-08-31,1,0.0
8,91475,investment,2012-05-25,1,1.0
9,422392,business,2012-10-25,0,
10,725653,home,2012-03-14,0,
11,100545,business,2012-12-20,0,
12,597342,home,2012-07-04,0,
13,484791,investment,2012-07-10,0,
14,502241,home,2012-02-17,0,
15,502729,emergency_funds,2012-05-02,1,0.0
16,519314,home,2012-06-11,0,
17,146962,investment,2012-11-09,0,
18,11272,home,2012-07-30,1,0.0
19,402986,investment,2012-04-26,0,
20,10860,home,2012-07-20,0,
21,870726,home,2012-09-05,0,
22,751153,home,2012-12-18,1,1.0
23,163069,business,2012-10-18,1,1.0
24,584158,investment,2012-02-08,0,
25,180527,business,2012-10-09,1,1.0
26,781369,emergency_funds,2012-07-06,0,
27,292037,emergency_funds,2012-08-30,0,
28,514677,home,2012-02-03,1,1.0
29,989185,emergency_funds,2012-06-18,0,
30,631318,business,2012-10-02,0,
31,80186,investment,2012-03-21,0,
32,447947,home,2012-09-28,0,
33,177545,other,2012-07-20,0,
34,449688,investment,2012-03-09,1,1.0
35,389908,other,2012-06-08,0,
36,15935,business,2012-05-09,1,1.0
37,15545,home,2012-06-22,1,0.0
38,1561,home,2012-11-22,0,
39,36348,investment,2012-06-12,0,
40,613065,investment,2012-09-10,1,1.0
41,592519,business,2012-05-04,1,1.0
42,261620,emergency_funds,2012-03-12,0,
43,174451,home,2012-06-26,0,
44,407557,business,2012-05-25,0,
45,441141,other,2012-03-29,1,0.0
46,961739,home,2012-09-11,0,
47,124263,business,2012-12-25,1,1.0
48,42292,home,2012-11-26,0,
49,470250,business,2012-07-19,0,
50,384764,emergency_funds,2012-12-12,1,1.0
51,916773,home,2012-09-14,1,0.0
52,960283,other,2012-11-05,0,
53,782322,other,2012-03-26,1,1.0
54,544983,business,2012-10-29,1,1.0
55,102858,home,2012-05-30,0,
56,999388,investment,2012-04-09,0,
57,700389,emergency_funds,2012-01-11,0,
58,476672,investment,2012-03-07,1,0.0
59,377190,home,2012-08-13,1,0.0
60,306670,other,2012-03-16,0,
61,504096,business,2012-04-13,0,
62,388189,other,2012-06-21,0,
63,199147,emergency_funds,2012-04-11,0,
64,319299,investment,2012-02-21,0,
65,267742,investment,2012-11-21,0,
66,290876,business,2012-03-14,1,0.0
67,779815,business,2012-03-14,0,
68,391848,business,2012-09-25,1,0.0
69,619509,investment,2012-04-12,0,
70,64153,home,2012-04-04,1,1.0
71,379060,other,2012-03-08,0,
72,980510,emergency_funds,2012-06-12,0,
73,746955,home,2012-07-12,1,1.0
74,91727,emergency_funds,2012-06-20,1,0.0
75,816787,emergency_funds,2012-03-01,0,
76,640752,investment,2012-12-18,0,
77,937210,business,2012-11-13,1,0.0
78,456530,emergency_funds,2012-01-17,0,
79,73737,investment,2012-11-01,0,
80,903316,investment,2012-03-23,1,1.0
81,997032,investment,2012-06-18,0,
82,319821,home,2012-01-16,1,0.0
83,241018,emergency_funds,2012-10-30,1,1.0
84,510631,home,2012-10-12,0,
85,834961,investment,2012-12-19,1,1.0
86,367854,home,2012-02-22,1,1.0
87,851870,other,2012-04-11,0,
88,42905,investment,2012-08-20,0,
89,597727,business,2012-06-04,1,1.0
90,434073,business,2012-05-10,1,1.0
91,699164,investment,2012-12-05,1,0.0
92,75190,investment,2012-06-19,1,1.0
93,241510,home,2012-11-01,0,
94,546218,investment,2012-03-14,1,0.0
95,626213,business,2012-04-24,0,
96,843258,business,2012-02-21,1,1.0
97,505217,investment,2012-05-02,1,1.0
98,82828,investment,2012-08-15,0,
99,191638,other,2012-09-12,0,
100,152763,home,2012-10-08,1,1.0
101,804631,investment,2012-09-25,1,0.0
102,498568,emergency_funds,2012-04-04,0,
103,18409,home,2012-12-03,0,
104,528987,emergency_funds,2012-11-15,1,0.0
105,967002,home,2012-05-23,1,0.0
106,826730,business,2012-06-06,0,
107,244935,investment,2012-09-13,1,1.0
108,282160,other,2012-09-05,1,0.0
109,311173,other,2012-03-09,0,
110,635829,home,2012-07-12,0,
111,672083,investment,2012-08-30,0,
112,593851,investment,2012-05-15,1,1.0
113,334613,emergency_funds,2012-02-02,1,1.0
114,428399,investment,2012-05-29,1,1.0
115,273174,business,2012-01-19,0,
116,769866,other,2012-12-13,1,0.0
117,881940,other,2012-05-11,0,
118,54178,home,2012-07-17,1,1.0
119,431576,other,2012-04-05,0,
120,841518,home,2012-08-14,1,1.0
121,638330,home,2012-08-01,1,0.0
122,126302,emergency_funds,2012-01-09,0,
123,541341,other,2012-12-05,1,1.0
124,58138,emergency_funds,2012-08-09,0,
125,759205,business,2012-04-11,0,
126,281837,home,2012-07-31,1,0.0
127,945033,other,2012-03-01,1,0.0
128,306858,business,2012-02-16,1,1.0
129,669546,business,2012-04-02,1,0.0
130,980042,emergency_funds,2012-07-26,0,
131,200293,home,2012-01-23,0,
132,667665,business,2012-08-31,0,
133,503680,other,2012-01-23,1,0.0
134,907431,other,2012-11-26,0,
135,898635,home,2012-02-21,1,1.0
136,224780,home,2012-01-03,0,
137,821752,business,2012-01-11,1,0.0
138,139441,home,2012-10-11,0,
139,859801,home,2012-09-24,0,
140,670672,business,2012-07-27,1,0.0
141,674390,other,2012-07-26,0,
142,941085,other,2012-01-11,1,0.0
143,561958,business,2012-04-09,0,
144,860056,other,2012-12-26,1,1.0
145,824325,investment,2012-10-09,0,
146,916003,home,2012-06-28,1,1.0
147,460854,business,2012-12-14,1,1.0
148,591749,investment,2012-01-06,0,
149,916991,business,2012-04-20,1,1.0
150,330384,business,2012-10-10,0,
151,309480,home,2012-11-06,1,1.0
152,373898,business,2012-06-01,1,0.0
153,84753,emergency_funds,2012-10-23,0,
154,98212,investment,2012-02-20,0,
155,862179,home,2012-07-24,0,
156,849961,other,2012-05-21,1,1.0
157,656553,investment,2012-07-18,0,
158,471372,business,2012-06-28,1,1.0
159,172771,home,2012-01-10,1,1.0
160,311200,other,2012-01-03,0,
161,940286,home,2012-11-14,0,
162,256064,other,2012-11-06,0,
163,154608,business,2012-09-03,1,1.0
164,176172,emergency_funds,2012-05-16,0,
165,307302,emergency_funds,2012-08-09,1,1.0
166,102250,home,2012-05-22,1,0.0
167,962864,emergency_funds,2012-05-25,0,
168,45229,other,2012-03-14,0,
169,60124,emergency_funds,2012-10-31,0,
170,408674,other,2012-08-20,1,1.0
171,202610,emergency_funds,2012-01-17,0,
172,573288,home,2012-12-19,0,
173,634174,other,2012-10-03,1,1.0
174,522623,business,2012-10-26,0,
175,488400,other,2012-05-23,0,
176,40352,business,2012-01-30,0,
177,996483,business,2012-09-12,0,
178,190016,business,2012-02-27,1,1.0
179,927986,emergency_funds,2012-05-08,1,1.0
180,261833,investment,2012-02-10,0,
181,748862,business,2012-06-28,1,1.0
182,936473,home,2012-03-13,0,
183,978081,investment,2012-07-24,1,1.0
184,742389,emergency_funds,2012-01-24,0,
185,85825,investment,2012-04-20,0,
186,713586,business,2012-10-02,1,1.0
187,546025,business,2012-11-12,1,0.0
188,436630,home,2012-08-02,0,
189,910495,business,2012-10-29,0,
190,164104,investment,2012-03-22,1,1.0
191,515539,business,2012-11-12,0,
192,706772,other,2012-05-30,0,
193,830027,home,2012-05-04,0,
194,279924,business,2012-03-15,1,0.0
195,396477,other,2012-06-27,0,
196,156159,home,2012-10-29,1,1.0
197,316368,business,2012-04-18,0,
198,278393,other,2012-10-05,0,
199,506619,home,2012-04-03,0,
200,903359,emergency_funds,2012-08-06,0,
201,40045,business,2012-03-09,0,
202,815756,business,2012-12-05,1,1.0
203,428393,business,2012-11-15,1,1.0
204,490717,investment,2012-01-04,1,0.0
205,118181,home,2012-11-21,1,1.0
206,98757,home,2012-08-03,0,
